Species_name	Reference
Boreogadus saida	"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566"
Esox lucius	"Appavoo et al, 1991"
Esox lucius	"Kuhnlein et al, 2002"
Lota lota	"Appavoo et al, 1991"
Abramis brama	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Acanthina monodon	"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347"
Alosa sapidissima	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Amblypharyngodon mola	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Aristeus antennatus	"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258–273."
Aulacomya ater	"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347"
Barbodes gonionotus	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Barbonymus altus	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Brama japonica	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Callinectes sapidus	"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314."
Callinectes sapidus	"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498."
Channa marulius	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Channa micropeltes	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Channa punctata	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Cirrhinus cirrhosus	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Coregonus albula	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Coregonus autumnalis	"Belinsky et al, 1996"
Coregonus autumnalis	"Kuhnlein et al, 1994"
Coregonus clupeaformis	"Belinsky et al, 1996"
Coregonus clupeaformis	"Kuhnlein et al, 1994"
Coregonus clupeaformis	"Kuhnlein et al, 2002"
Coregonus spp	"Kuhnlein et al, 1994"
Corica soborna	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Crassostrea virginica	"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314."
Cyclocheilichthys apogon	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Dangila sp.	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Dermogenys pusilla	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Dermogenys pusilla juv.	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Esomus danricus	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Esomus longimanus	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Esox lucius	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Esox lucius	"Belinsky et al, 1996"
Esox lucius	"Kuhnlein et al, 1994"
Euryglossa panoides	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Fissurella picta	"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347"
Gadus macrocephalus	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Haliotis cracherodii	 
Helostoma temminkii	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Hexaplex trunculus	"Zied Zarai,a∗ Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265–1270. 2011"
Homarus americanus	"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867"
Homarus gammarus	"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867"
Loligo vulgaris	"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153"
Lota lota	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Lota lota	"Kuhnlein et al, 1994"
Lota lota	"Kuhnlein et al, 2002"
Macrognathus aculeatus	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Mercenaria mercenaria	"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314."
Meretrix lusoria	"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145."
Merluccius productus	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Metacarcinus magister	 
Metapenaeus monoceros	"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006."
Microstomus pacificus	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Mya spp	"Kuhnlein &Soueida, 1992"
Myoxocephalus spp	"Kuhnlein &Soueida, 1992"
Mytilus chilensis	"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279"
Mytilus chilensis	"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347"
Mytilus edulis	 
Mytilus edulis	"Kuhnlein &Soueida, 1992"
Mytilus galloprovincialis	"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49."
Nacella deaurata	"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347"
Nephrops norvegicus	"Lourenço H.M., Anacleto P., Afonso C., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Chemical characterisation of Nephrops norvegicus from the Portuguese coast. J Sci Food Agric 89: 2572-2580"
Octopus vulgaris	"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153"
Oncorhynchus gorbuscha	 
Oncorhynchus keta	 
Oncorhynchus kisutch	 
Oncorhynchus mykiss	 
Oncorhynchus nerka	 
Oncorhynchus tshawytscha	 
Osteochilus hasselti	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Ostrea edulis	"Bilandžić, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea."" Journal of Food Composition and Analysis 45 (2016): 39-49."
Parachela siamensis	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Parambassis ranga	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Parambassis wolffii	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Penaeus semisulcatus	"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006."
Perca fluviatilis	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Perunytitus purpuratus	"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279"
Pinctada radiata	"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814)."" Journal of the Science of Food and Agriculture 86.13 (2006): 2161-2165."
Placopectens magellanicus	"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314."
Platichthys stellatus	 
Pleurogrammus monopterygius	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Portunus pelagicus	"Gökoðlu, Nalan, and Pýnar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya."" Food Chemistry 80.4 (2003): 495-498."
Puntioplites proctozystron	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Puntius sophore	"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109"
Rasbora tornieri	"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235"
Rutilus rutilus	"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178"
Salvelinus namaycush	"Belinsky et al, 1996"
Salvelinus namaycush	"Kuhnlein et al, 1994"
Salvelinus naresi	"Kuhnlein &Soueida, 1992"
Salvelinus naresi	"Kuhnlein et al, 2002"
Saxidomus gigantea	 
Sebastes ruberrimus	 
Sepia officinalis	"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153"
Stenodus leucichthys	"Kuhnlein et al, 1994"
Theragra chalcogramma	"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855"
Abramis brama	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Abramis brama	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Abramis sp.	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Abramis sp.	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Acanthurus xanthopterus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Aetomylaeus nichofii	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Argyrops spinifer	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Ariomma indicum	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Arius jella	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Atropus atropos	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Brosme brosme	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Brosme brosme	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Carangoides malabaricus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Caranx hippos	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Caranx ignobilis	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Chanos chanos	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Charybdis natator	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Chirocentrus dorab	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Chirocentrus nudus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Clupea harengus	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Clupea harengus	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Clupea harengus membras	"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
Clupea harengus membras	"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
Clupea harengus membras	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Clupea harengus membras	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Coregonus albula	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Coregonus albula	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Coregonus albula	"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the Vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
Coregonus albula	"Mattila P., Ronkainen R., Lehikoinen K., Piironen V. (1999). Effect of household cooking on the vitamin D content in fish, eggs, and wild mushrooms. Journal of Food Composition and Analysis 12: 153-160"
Coregonus sp.	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Coregonus sp.	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Cynoglossus dubius	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Cynoglossus semilaevis	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Decapterus russelli	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Dussumieria acuta	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Dussumieria elopsoides	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Eleutheronema tetradactylum	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Elops machnata	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Ephippus orbis	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Epinephelus coioides	"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475"
Epinephelus latifasciatus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Esox lucius	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Esox lucius	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Etroplus maculatus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Eubleekeria splendens	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Eutrigla gurnardus	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Eutrigla gurnardus	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Fenneropenaeus indicus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Gadus morhua	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Gadus morhua	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Gadus morhua	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Gadus morhua	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Gerres filamentosus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Hemiramphus lutkei	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Heteropneustes fossilis	"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
Hypostomus watwata	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Johnius carutta	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Johnius dussumieri	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Lactarius lactarius	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Lepidoperca pulchella	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Lepidorhombus whiffiagonis	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Lepidorhombus whiffiagonis	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Lepturacanthus savala	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Lethrinus lentjan	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Loligo duvauceli	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
Lophius piscatorius	"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Lophius piscatorius	"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413"
Lucioperca lucioperca	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). Cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Lucioperca lucioperca	"Mattila P., Piironen V. Uusi-Rauva E., Koivistoinen P. (1995). cholecalciferol and 25-hydroxycholecalciferol contents in fish and fish products. Journal of Food Composition and Analysis 8: 232-243"
Lutjanus gibbus	"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461"
