Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c106,Centropristis striata,Finfish,Black Sea Bass,muscle,"Black Sea Bass, muscle",10.4,0.136,0.341,NA,NA,18.5,2.08,65,NA,NA,NA,NA,NA,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c107,Centropristis striata,Finfish,Black Sea Bass,muscle,"Black Sea Bass, muscle",41,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c108,Centropristis striata,Finfish,Black Sea Bass,muscle,"Black Sea Bass, muscle",NA,NA,0.142,NA,NA,18.4,1.7,27,NA,NA,NA,NA,NA,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c109,Centropristis striata,Finfish,Black Sea Bass,whole,"Black Sea Bass, whole",NA,NA,NA,NA,NA,14.3,6.1,27,NA,NA,NA,NA,NA,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c110,Centropristis striata,Finfish,Black Sea Bass,viscera,"Black Sea Bass, offal",NA,NA,NA,NA,NA,16.4,7.2,27,NA,NA,NA,NA,NA,marine
Centropristis striata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,temperate,fusiform / normal,reef-associated,NA,66,c111,Centropristis striata,Finfish,Black Sea Bass,eggs,"Black Sea Bass, eggs",NA,NA,NA,NA,NA,16.9,3.8,27,NA,NA,NA,NA,NA,marine
Centroscyllium fabricii,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.13,deep-water,elongated,bathydemersal,NA,107,bc77,Centroscyllium fabricii,Finfish,Black dogfish,muscle,"Black dogfish, wild, dorsal muscle, raw",NA,NA,NA,0.02412773,0.19725567,17.1,0.7,fi11,"Unknown, Hatton Bank, North Atlantic",NA,FA converted using XFA,2005,0900077,marine
Centroscymnus coelolepis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.19,temperate,elongated,bathydemersal,3700,120,bc76,Centroscymnus coelolepis,Finfish,Portuguese dogfish,muscle,"Portuguese dogfish, wild, dorsal muscle, raw",NA,NA,NA,0.0223005,0.246420525,20.8,0.95,fi11,"Unknown, Hatton Bank, North Atlantic",NA,FA converted using XFA,2005,0900076,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc278,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Bluespotted seabass, white muscle flesh, raw",NA,NA,NA,0.0513552,0.0995007,NA,1.3,fi58,Senegal (Senegalese waters; samples from local fish market of Dakar),"Jan, Jul-Oct 1993",FA converted using XFA,2002,0900297,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc592,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.052018886,0.100152544,NA,1.31,fi104,"Mauritania, Nouakchott, local fish market",Jan,FA converted using XFA,2011,0900611,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc593,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.051755392,0.044539496,NA,0.82,fi104,"Mauritania, Nouakchott, local fish market",Mar,FA converted using XFA,2011,0900612,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc594,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.06891212,0.036535305,NA,0.79,fi104,"Mauritania, Nouakchott, local fish market",May,FA converted using XFA,2011,0900613,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc595,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.066095,0.031884228,NA,0.72,fi104,"Mauritania, Nouakchott, local fish market",Jul,FA converted using XFA,2011,0900614,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc596,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.12182345,0.04575354,NA,1.15,fi104,"Mauritania, Nouakchott, local fish market",Sep,FA converted using XFA,2011,0900615,marine
Cephalopholis taeniops,NA,NA,NA,NA,tropical,fusiform / normal,demersal,200,70,bc597,Cephalopholis taeniops,Finfish,Bluespotted seabass,muscle,"Blue spotted sea bass, wild, dorsal muscle fillet, skin-on, raw",NA,NA,NA,0.060909912,0.084198996,NA,1.22,fi104,"Mauritania, Nouakchott, local fish market",Nov,FA converted using XFA,2011,0900616,marine
Chaenocephalus aceratus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.96,polar,elongated,demersal,770,72,bc871,Chaenocephalus aceratus,Finfish,Blackfin icefish,muscle,"Blackfin icefish, Icefish, adult fish, muscle flesh, middle portion, raw",NA,NA,NA,0.4896,0.75276,NA,3.06,fi131,"Antarctic, South Shetlands Archipelago, King George Islands, Admiralty Bay",NA,NA,2007,0900890,marine
Chaenocephalus aceratus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.96,polar,elongated,demersal,770,72,bc89,Chaenocephalus aceratus,Finfish,Blackfin icefish,muscle,"Blackfin icefish, wild, fillet (belly flaps removed), raw",NA,NA,NA,NA,NA,17.3,0.9,fi19,"Unknown, Antarctic waters",Mar 1981,NA,1991,0900089,marine
Chanda nama,NA,mainly animals (troph. 2.8 and up),NA,3.59,tropical,short and / or deep,benthopelagic,NA,11,bc1316,Chanda nama,Finfish,Elongate glass-perchlet,muscle_organs,"Elongate glass-perchlet, large size, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902233,freshbrack
Channa marulius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,tropical,elongated,benthopelagic,NA,183,af241,Channa marulius,Finfish,Great snakehead,muscle_skinless,"Murrel, wild, skinless, muscle flesh, raw",10.1,0.6,1.5,NA,NA,17.3,1.3,fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2006,NA,1993,0901545,fresh
Channa marulius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,tropical,elongated,benthopelagic,NA,183,bc1060,Channa marulius,Finfish,NA,muscle_organs,"cleaned fish, raw",1306.452,1.347549,1.321593,NA,NA,NA,NA,fi184,"Cambodia, Kampong Chhnang, Kandal Phnom Penh","Oct, Nov 2001",Minerals expressed per DM - conversion to FW; DM (%) provided by Author,2007,0901079,fresh
Channa marulius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,tropical,elongated,benthopelagic,NA,183,bc1377,Channa marulius,Finfish,NA,muscle_organs,"Gojar, wild, raw",9.3,0.43,0.6,NA,NA,17.1,0.3,fi367,"Bangladesh, Sylhet",Jul-Sep 2012,NA,2015,0902294,fresh
Channa micropeltes,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.85,tropical,elongated,benthopelagic,NA,130,bc1061,Channa micropeltes,Finfish,Indonesian snakehead,muscle_organs,"Indonesian snakehead, cleaned fish, raw",1085.841,1.234455,1.440597,NA,NA,NA,NA,fi184,"Cambodia, Kampong Chhnang, Kandal Phnom Penh","Oct, Nov 2001",Minerals expressed per DM - conversion to FW; DM (%) provided by Author,2007,0901080,fresh
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,bc1344,Channa punctata,Finfish,Spotted snakehead,muscle_organs,"Spotted snakehead, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902261,freshbrack
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,bc1345,Channa punctata,Finfish,Spotted snakehead,muscle_organs,"Spotted snakehead, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902262,freshbrack
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,bc1346,Channa punctata,Finfish,Spotted snakehead,muscle_organs,"Spotted snakehead, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902263,freshbrack
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,bc1394,Channa punctata,Finfish,Spotted snakehead,muscle_organs,"Spotted snakehead, wild, raw",766,1.8,1.5,NA,NA,18.3,0.6,fi367,"Bangladesh, Mymensingh",Jul-Sep 2012,NA,2015,0902311,freshbrack
Channa punctata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.84,tropical,elongated,benthopelagic,NA,31,bc183,Channa punctata,Finfish,Spotted snakehead,muscle_organs,"Spotted snakehead, wild, edible portion, raw",NA,NA,NA,NA,NA,19.13,NA,fi33,"Bangladesh, Khulna, Mouri River",Feb 2002,FAT-/PROT-: analyzed according to Pearson (1977),2007,0900183,freshbrack
Chela cachius,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,9.6,bc1319,Chela cachius,Finfish,NA,muscle_organs,"Barb, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902236,freshbrack
Chela cachius,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,9.6,bc1372,Chela cachius,Finfish,NA,muscle_organs,"Chela, wild, raw",1000,0.84,4.7,NA,NA,15.2,2.4,fi367,"Bangladesh, Mymensingh",Jul-Sep 2012,NA,2015,0902289,freshbrack
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,bc252,Chelidonichthyus lucernus,Finfish,Tub gurnard,muscle_skinless,"Tub gurnard, wild, boneless, skinless fillet, raw",NA,NA,NA,0.008749,0.02740456,19.94,0.4,fi52,"Turkey, North-eastern Medierranean Sea",Jan (Winter),FA converted using XFA,2010,0900252,marine
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,bc253,Chelidonichthyus lucernus,Finfish,Tub gurnard,muscle_skinless,"Tub gurnard, wild, boneless, skinless fillet, raw",NA,NA,NA,0.007016698,0.023552308,19.5,0.26,fi52,"Turkey, North-eastern Medierranean Sea",Apr (Spring),FA converted using XFA,2010,0900253,marine
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,bc254,Chelidonichthyus lucernus,Finfish,Tub gurnard,muscle_skinless,"Tub gurnard, wild, boneless, skinless fillet, raw",NA,NA,NA,0.094753208,0.200428976,18.96,3.08,fi52,"Turkey, North-eastern Medierranean Sea",Oct (Autumn),FA converted using XFA,2010,0900254,marine
Chelidonichthys lucerna,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,elongated,demersal,318,75.1,bc403,Chelidonichthys lucerna,Finfish,Tub gurnard,muscle,"Gurnard, wild, edible flesh, raw",NA,NA,NA,NA,NA,19,2,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900422,marine
Chirocentrus dorab,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,elongated,reef-associated,120,100,bc515,Chirocentrus dorab,Finfish,Dorab wolf-herring,muscle,"Dorab wolfherring, wild, fillet, raw",NA,NA,NA,NA,NA,20.83,1.22,fi88,"Malaysia, West coast of Peninsular",NA,NA,2011,0900534,brackmarine
Clarias batrachus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,tropical,elongated,demersal,NA,47,bc1337,Clarias batrachus,Finfish,Philippine catfish,muscle_organs,"Philippine catfish, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902254,freshbrack
Clarias batrachus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,tropical,elongated,demersal,NA,47,bc1387,Clarias batrachus,Finfish,Philippine catfish,muscle_organs,"Philippine catfish, wild, raw",59,1.2,0.74,NA,NA,16.5,1.3,fi367,"Bangladesh, Mymensingh",Jul-Sep 2012,NA,2015,0902304,freshbrack
Clarias batrachus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,tropical,elongated,demersal,NA,47,bc178,Clarias batrachus,Finfish,Philippine catfish,muscle_organs,"Philippine catfish, wild, edible portion, raw",NA,NA,NA,NA,NA,14.87,7.9,fi33,"Bangladesh, Khulna, Mouri River",Feb 2002,FAT-/PROT-: analyzed according to Pearson (1977),2007,0900178,freshbrack
Clarias batrachus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,tropical,elongated,demersal,NA,47,bc582,Clarias batrachus,Finfish,Philippine catfish,muscle,"Walking catfish, wild, skin-on fillet, raw",299,0.6,0.9,0.05312,0.03984,19,3,fi103,"Laos, Champasak and Savannakhet, rice field ecosystems",dry season,FA converted using XFA,2010,0900601,freshbrack
Clarias macrocephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,tropical,elongated,benthopelagic,NA,120,bc10,Clarias macrocephalus,Finfish,Bighead catfish,muscle,"Walking catfish, wild, muscle fillet, raw",NA,NA,NA,NA,NA,17.8,14.7,fi2,"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)",May-Oct,NNP calc. as % of TN,1999,0900010,freshbrack
Clarias macrocephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,tropical,elongated,benthopelagic,NA,120,bc212,Clarias macrocephalus,Finfish,Bighead catfish,muscle_skinless,"Walking catfish, wild, boneless, skinless fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi46,"Thailand, Mueang Sisaket district, Pho",wet season,FA calculation based on mean lipid value given for different districts; FA converted using XFA; tr = FA values < 0.10% of FACID,2010,0900212,freshbrack
Clarias macrocephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,tropical,elongated,benthopelagic,NA,120,bc213,Clarias macrocephalus,Finfish,Bighead catfish,muscle_skinless,"Walking catfish, wild, boneless, skinless fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi46,"Thailand, Mueang Sisaket district, Phon Kha",wet season,FA calculation based on mean lipid value given for different districts; FA converted using XFA; tr = FA values < 0.10% of FACID,2010,0900213,freshbrack
Clarias macrocephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,tropical,elongated,benthopelagic,NA,120,bc214,Clarias macrocephalus,Finfish,Bighead catfish,muscle_skinless,"Walking catfish, wild, boneless, skinless fillet, raw",NA,NA,NA,NA,NA,NA,NA,fi46,"Thailand, Khukhan district, Lom Sak",wet season,FA calculation based on mean lipid value given for different districts; FA converted using XFA; tr = FA values < 0.10% of FACID,2010,0900214,freshbrack
Clupeoides borneensis,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.1,tropical,fusiform / normal,pelagic,NA,8,bc834,Clupeoides borneensis,Finfish,Borneo river sprat,whole,"Borneo river sprat, wild, whole fish, full grown, raw",NA,NA,NA,NA,NA,NA,NA,fi129,"Cambodia, Kampong Chhnang, Kandal Phnom Penh","Oct, Nov 2001",RETOLD: all-trans-dehydroretinol and 13-cis isomers,2007,0900853,freshbrack
Coregonus artedi,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.35,temperate,elongated,pelagic-neritic,NA,57,c143,Coregonus artedi,Finfish,Lake Herring,muscle,"Lake Herring, muscle",12,NA,NA,NA,NA,19.4,3.2,27,NA,NA,NA,NA,NA,freshbrackmarine
Coregonus artedi,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.35,temperate,elongated,pelagic-neritic,NA,57,c144,Coregonus artedi,Finfish,Lake Herring,whole,"Lake Herring, whole",NA,NA,NA,NA,NA,17.4,6.8,27,NA,NA,NA,NA,NA,freshbrackmarine
Coregonus artedi,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.35,temperate,elongated,pelagic-neritic,NA,57,c145,Coregonus artedi,Finfish,Lake Herring,viscera,"Lake Herring, offal",NA,NA,NA,NA,NA,15.9,7.2,27,NA,NA,NA,NA,NA,freshbrackmarine
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1462,Coregonus clupeaformis,Finfish,NA,muscle,"Whitefish, wild, meat, raw",40,0.5,0.4,NA,NA,18,4,fc003,"Canada, Northwest Territories, western Canadian Arctic, community of K áhbamit úé (Colville Lake).",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,0902379,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1466,Coregonus clupeaformis,Finfish,NA,eggs,"Whitefish, wild, eggs, raw",40,3,4,NA,NA,22,11,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope) and K áhbamit úé (Colville Lake)",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method.",1994,0902383,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1469,Coregonus clupeaformis,Finfish,NA,esophagus,"Whitefish, wild, esophagus, raw",NA,NA,NA,NA,NA,15,4.1,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope) and K áhbamit úé (Colville Lake)",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method.",1994,0902386,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1490,Coregonus clupeaformis,Finfish,NA,muscle,"Whitefish, wild, meat, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902407,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1494,Coregonus clupeaformis,Finfish,NA,eggs,"Whitefish, wild, eggs, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902411,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1497,Coregonus clupeaformis,Finfish,NA,muscle,"Whitefish, crookedback, wild, meat, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902414,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1526,Coregonus clupeaformis,Finfish,NA,muscle,"Whitefish, wild, meat, raw",NA,NA,NA,0.1,0.1,NA,1.9,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902443,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1531,Coregonus clupeaformis,Finfish,NA,eggs,"Whitefish, wild, eggs, raw",NA,NA,NA,0.4,0.7,NA,11.4,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902448,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc1533,Coregonus clupeaformis,Finfish,NA,muscle_organs,"Whitefish, wild, tail, raw",NA,NA,NA,0.2,0.2,NA,5.1,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902450,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc56,Coregonus clupeaformis,Finfish,Lake Whitefish,muscle,"Whitefish, wild, female, flesh, raw",7,0.23,0.4,NA,NA,15,NA,fi4,"Canada, James Bay, Caniapiscau",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900056,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc57,Coregonus clupeaformis,Finfish,Lake Whitefish,muscle,"Whitefish, wild, female, flesh, raw",5,0.3,0.6,NA,NA,15,NA,fi4,"Canada, James Bay, Lac Temoin",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900057,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,bc58,Coregonus clupeaformis,Finfish,Lake Whitefish,muscle,"Whitefish, wild, female, flesh, raw",5,0.2,0.4,NA,NA,14,NA,fi4,"Canada, James Bay, Vermeulle",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900058,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,c169,Coregonus clupeaformis,Finfish,Lake Whitefish,muscle,"Lake Whitefish, muscle",NA,NA,1.3,NA,NA,18.5,7.2,27,NA,NA,NA,NA,NA,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,c170,Coregonus clupeaformis,Finfish,Lake Whitefish,muscle,"Lake Whitefish, muscle",25.7,0.3,0.3,0.059,0.251,23.3,1.3,2,NA,NA,NA,NA,NA,freshbrack
Coregonus clupeaformis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4300000667572017,temperate,fusiform / normal,demersal,128,100,c172,Coregonus clupeaformis,Finfish,Lake Whitefish,viscera,"Lake Whitefish, offal",NA,NA,NA,NA,NA,16.1,18.5,27,NA,NA,NA,NA,NA,freshbrack
Coregonus macrophthalmus,NA,NA,NA,3.3,temperate,fusiform / normal,pelagic,NA,30,bc192,Coregonus macrophthalmus,Finfish,NA,muscle,"Whitefish, wild, fillets, raw",NA,NA,NA,0.4758747,0.2940364,NA,4.3,fi35,"Italy, Besozzo, Lake Maggiore","May, Sep 1993",FA converted using XFA; FA <1% of FACID not reported in paper; FAPUN3 and FAPUN6 calculated (sum of individual FA n-3/n-6),1996,0900192,fresh
Coregonus macrophthalmus,NA,NA,NA,3.3,temperate,fusiform / normal,pelagic,NA,30,bc193,Coregonus macrophthalmus,Finfish,NA,muscle,"Whitefish, wild, fillets, raw",NA,NA,NA,0.529135,0.332755,NA,6,fi35,"Swizerland, Auvernier, Lake Neuchâtel",Aug 1993,FA converted using XFA; FA <1% of FACID not reported in paper; FAPUN3 and FAPUN6 calculated (sum of individual FA n-3/n-6),1996,0900193,fresh
Corica soborna,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,NA,5.3,bc1332,Corica soborna,Finfish,Ganges river sprat,muscle_organs,"Ganges river sprat, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902249,freshbrackmarine
Corica soborna,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,NA,5.3,bc1333,Corica soborna,Finfish,Ganges river sprat,muscle_organs,"Ganges river sprat, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902250,freshbrackmarine
Corica soborna,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,NA,5.3,bc1334,Corica soborna,Finfish,Ganges river sprat,muscle_organs,"Ganges river sprat, edible parts (eyes included), raw",NA,NA,NA,NA,NA,NA,NA,fi199,"Bangladesh, Kishoreeganj/Mymensingh district","Sep, Oct",additional data received from author; RETOLDH: sum of 13-cis and all-trans dehydroretinol,2002,0902251,freshbrackmarine
