ref_info,ref_number,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,notes
"Steiner-Asiedu M., Julshamn K., Lie Íƒ. (1991). Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana: Part I. Proximate composition, fatty acids, minerals, trace elements and vitamins. Food Chemistry 40:309-321",190,"Steiner-Asiedu, Matilda; Julshamn, Kfire; Lie, Oyvind; ","Effect of local processing methods (cooking, frying and smoking) on three fish species from Ghana. I. Proximate composition, fatty acids, minerals, trace elements and vitamins",Food Chemistry,,,,1991,,
"Stephen N.M., Shakila J.R., Jeyasekaran G., Sukumar D. (2010). Effect of different types of heat processing on chemical changes in tuna. J Food Sci Technol 47(2): 174-181",191,"Stephen, Nimish Mol; Shakila, R Jeya; Jeyasekaran, G; Sukumar, D; ",Effect of different types of heat processing on chemical changes in tuna,Journal of Food Science and Technology,47,2,174-181,2010,Springer,
"Surtt J., Lee H.J., Kwon H. (2009). Regional Difference in Fatty Acid Content of Korean Shellfish. Food Sci. Biotechnol 18: 367 - 373",192,"Surh, Jeonghee; Lee, Hae-Jeung; Kwon, Hoonjeong; ",Regional difference in fatty acid content of Korean shellfish,Food Science and Biotechnology,18,2,367-373,2009,,
"Sushchik N.N., Gladyshev M.I., Kalachova G.S. (2007). Seasonal dynamics on fatty acid content of a common food fish from the Yenisei river, Serbian grayling, Thymallus arcticus. Food Chemistry 104: 1353 - 1358",193,"Sushchik, Nadezhda N; Gladyshev, Michail I; Kalachova, Galina S; ","Seasonal dynamics of fatty acid content of a common food fish from the Yenisei river, Siberian grayling, Thymallus arcticus",Food Chemistry,104,4,1353-1358,2007,Elsevier,
"Swapna H.C., Amit K.R., Bhaskar N., Sachindra N.M. (2010). Lipid classes and fatty acid profile of selected Indian fresh water fishes. J Food Sci Technol 47(4): 394-400",194,"Swapna, HC; Rai, Amit Kumar; Bhaskar, N; Sachindra, NM; ",Lipid classes and fatty acid profile of selected Indian fresh water fishes,Journal of Food Science and Technology,47,4,394-400,2010,Springer,
"Tanamati A., Stevanato F.B., Visentainer J.E.L., Matsushita M., de Souza N.E., Visentainer J.V. (2009). Fatty acid composition in wild and cultivated pacu and pintado fish. Eur. J. Lipid Sci. Technol. 111:183-187",195,"Tanamati, Augusto; Stevanato, Fl_via Braidotti; Visentainer, Jeane Eliete Laguila; Matsushita, Makoto; de Souza, Nilson Evel_zio; Visentainer, Jesuê Vergêlio; ",Fatty acid composition in wild and cultivated pacu and pintado fish,European Journal of Lipid Science and Technology,111,2,183-187,2009,Wiley Online Library,
Tawfik M.S. (2009). Proximate composition and fatty acid profiles in most common available fish species in saudi market. Asian Journal of Clinical Nutrition 1(1): 50-57,196,"Tawfik, Manal S; ",Proximate composition and fatty acids profiles in most common available fish species in Saudi market.,Asian Journal of Clinical Nutrition,1,1,50-57,2009,"ANSInet, Asian Network for Scientific Information",
"Teeny F.M., Gauglitz Jr. E.J., Hall A.S., Houle C.R.(1984). Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific. J. Agric. Food Chem. 32: 852-855",197,"Teeny, FM; Gauglitz Jr, EJ; Hall, AS; Houle, CR; ",Mineral composition of the edible muscle tissue of seven species of fish from the Northeast Pacific,Journal of Agricultural and Food Chemistry,32,4,852-855,1984,ACS Publications,
"Tsape K., Sinanoglou V.J., Miniadis - Meimaroglou S. (2010). Comparative analysis of the fatty acid and sterol profiles of widly consumed Mediterranean crustacean species. Food Chemistry 122: 292 - 299",198,"Tsape, Katerina; Sinanoglou, Vassilia J; Miniadis-Meimaroglou, Sofia; ",Comparative analysis of the fatty acid and sterol profiles of widely consumed Mediterranean crustacean species,Food Chemistry,122,1,292-299,2010,Elsevier,
"Turan H., Kaya Y. Erdem M.E. (2011). Proximate composition, cholesterol and fatty acid content of brown shrimp (Crangon crangon, L. 1758) from Sinop region, Black Sea. Journal of Aquatic Food Product Technology 20:100-107",199,"Turan, Hªlya; Kaya, Yalçin; Erdem, M Emin; ","Proximate composition, cholesterol, and fatty acid content of brown shrimp (Crangon crangon L. 1758) from Sinop Region, Black Sea",Journal of Aquatic Food Product Technology,20,1,100-107,2011,Taylor & Francis,
"Tzikas Z., Amvrosiadis I., Soultos N., Georgakis Sp. (2007). Seasonal variation in the chemical composition and microbiological condition of Mediterranean horse mackerel (Trachurus mediterraneus) muscle from the North Aegean Sea (Greece). Food Control 18: 251-257",200,"Tzikas, Z; Amvrosiadis, I; Soultos, N; Georgakis, Sp; ",Seasonal variation in the chemical composition and microbiological condition of Mediterranean horse mackerel (Trachurus mediterraneus) muscle from the North Aegean Sea (Greece),Food control,18,3,251-257,2007,Elsevier,
"Usydus Z., Szlinder-Richert J., Adamczyk M., Szatkowska U. (2011). Marine and farmed fish in the Polish market: Comparison of the nutritional value. Food Chemistry 126: 78-84",201,"Usydus, Zygmunt; Szlinder-Richert, Joanna; Adamczyk, Maria; Szatkowska, Urszula; ",Marine and farmed fish in the Polish market: Comparison of the nutritional value,Food Chemistry,126,1,78-84,2011,Elsevier,
"Vasconcoles P., Gaspar M.B., Castro M., Nunes M.L. (2009) Influence of growth and reproductive cycle on the meat yield and proximate composition Hexaplex trunculus (Gastropoda: Muricidae). Journal of the Marine Biological Association of the United Kingdom 89: 1223 - 1231",202,"Vasconcelos, P; Gaspar, MB; Castro, M; Nunes, ML; ",Influence of growth and reproductive cycle on the meat yield and proximate composition of Hexaplex trunculus (Gastropoda: Muricidae),Marine Biological Association of the United Kingdom. Journal of the Marine Biological Association of the United Kingdom,89,6,1223,2009,Cambridge University Press,
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",203,"Visentainer, Jesuê Vergêlio; Noffs, Maximiliano DêAddio; de Oliveira Carvalho, Patricia; de Almeida, Vanessa Vivian; de Oliveira, Clöudio Celestino; de Souza, Nilson Evelözio; ",Lipid content and fatty acid composition of 15 marine fish species from the southeast coast of Brazil,Journal of the American Oil Chemists' Society,84,6,543-547,2007,Springer,
Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249,204,"Vlieg, P; ",Proximate analysis of 10 commercial New Zealand fish species,New Zealand Journal of Science (New Zealand),,,,1984,,
"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",205,"Vlieg, Peter; Murray, Talbot; Body, Denis R; ",Nutritional data on six oceanic pelagic fish species from New Zealand waters,Journal of Food Composition and Analysis,6,1,45-54,1993,Elsevier,
"Wander R.C., Patton B.D. (1991) Lipids and fatty acids of three species of Northeast Pacific finfish harvested in summer. Journal of Food Composition and Analysis, 4, 128-135",206,"Wander, Rosemary C; Patton, Beverly D; ",Lipids and fatty acids of three species of northeast pacific finfish harvested in summer,Journal of food composition and analysis,4,2,128-135,1991,Elsevier,
"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26",207,"Wimalasena, S; Jayasuriya, MNS; ",Nutrient analysis of some fresh water fish,Journal of the National Science Foundation of Sri Lanka,24,1,,1996,National Science Foundation of Sri Lanka,
"Wu T., Mao L. (2008). Influences of hot air drying and microwave drying on nutritional and odorous properties of grass carp (Ctenophayngodon idellus) fillets. Food Chemistry 110: 647-653",208,"Wu, Tao; Mao, Linchun; ",Influences of hot air drying and microwave drying on nutritional and odorous properties of grass carp (Ctenopharyngodon idellus) fillets,Food chemistry,110,3,647-653,2008,Elsevier,
"Wu X., Cheng Y., Sui L., Yang X., Nan T., Wang J. (2007). Biochemical composition of pond-reared and lake-stocked Chinese mitten crab Eriocheir sinensis (H. Milne-Edwards) broodstock. Aquaculture Research 38: 1459-1567",209,"Wu, Xugan; Cheng, Yongxu; Sui, Liying; Yang, Xiaozhen; Nan, Tianzuo; Wang, Jinqing; ",Biochemical composition of pond_reared and lake_stocked Chinese mitten crab Eriocheir sinensis (H. Milne_Edwards) broodstock,Aquaculture Research,38,14,1459-1467,2007,Wiley Online Library,
"Wu X., Zhou B., Cheng Y., Zeng C., Wang C., Feng L. (2010). Comparison of gender differences in biochemical composition and nutritional value of various edible parts of the blue swimmer crab. Journal of Food Composition and Analysis 23: 154-159",210,"Wu, Xugan; Zhou, Bo; Cheng, Yongxu; Zeng, Chaoshu; Wang, Chunlin; Feng, Lang; ",Comparison of gender differences in biochemical composition and nutritional value of various edible parts of the blue swimmer crab,Journal of Food Composition and Analysis,23,2,154-159,2010,Elsevier,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)from the Eastern Mediterranean, Food Chemistry, 2006.",211,"Yanar, Yasemen; Celik, Mehmet; ","Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789) from the Eastern Mediterranean",Food Chemistry,94,1,33-36,2006,Elsevier,
"Yanar Y., Celik M. (2006). Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789) from the Eastern Mediterranean. Food Chemistry 94: 33-36",212,"Yanar, Yasemen; Celik, Mehmet; ","Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789) from the Eastern Mediterranean",Food Chemistry,94,1,33-36,2006,Elsevier,
"Yap C.K., Ismail A., Tan S.G. (2004). Heavy metal (Cd, Cu, Pb and Zn) concentrations in the green-lipped mussel Perna viridis (Linnaeus) collected from some wild and aquacultural sites in the west coast of Peninsular Malaysia. Food Chemistry 84: 569-575",213,"Yap, Chee Kong; Ismail, A; Tan, Soon Guan; ","Heavy metal (Cd, Cu, Pb and Zn) concentrations in the green-lipped mussel Perna viridis (Linnaeus) collected from some wild and aquacultural sites in the west coast of Peninsular Malaysia",Food Chemistry,84,4,569-575,2004,Elsevier,
"Zarai Z., Frikha F., Balti R. Miled N., Gargouri Y. Mejdoub H. (2011). Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coast. J Sci Food Agric 91: 1265-1270",214,"Zarai, Zied; Frikha, Fakher; Balti, Rafik; Miled, Nabil; Gargouri, Youssef; Mejdoub, Hafedh; ",Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts,Journal of the Science of Food and Agriculture,91,7,1265-1270,2011,Wiley Online Library,
"Zhao F., Zhuang P., Song C., Shi Z.-h., Zhang L.-z. (2010). Amino acid and fatty acid compositions and nutritional quality of muscle in the pomfret, Pampus punctatissimus. Food Chemistry 118: 224-227",215,"Zhao, Feng; Zhuang, Ping; Song, Chao; Shi, Zhao-hong; Zhang, Long-zhen; ","Amino acid and fatty acid compositions and nutritional quality of muscle in the pomfret, Pampus punctatissimus",Food Chemistry,118,2,224-227,2010,Elsevier,
"Zied Zarai,a__Ü Fakher Frikha,a Rafik Balti,b Nabil Miled,a Youssef Gargouria and Hafedh Mejdouba. Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts. JSciFoodAgric2011;91:1265_„_1270. 2011",216,"Zarai, Z., Frikha, F., Balti, R., Miled, N., Gargouri, Y., & Mejdoub, H",Nutrient composition of the marine snail (Hexaplex trunculus) from the Tunisian Mediterranean coasts,Journal of the Science of Food and Agriculture,91,7,1265-1270,2011,Wiley Online Library,
"Zlatanos S., Laskaridis K., Sagredos A. (2009). Determination of proximate composition, fatty acid content and amino acid profile of five lesser-common sea organism from the Mediterranean Sea. International Journal of Food Science and Technology 44:1590-1594",217,"Zlatanos, Spiros; Laskaridis, Kostas; Sagredos, Angelos; ","Determination of proximate composition, fatty acid content and amino acid profile of five lesser_common sea organisms from the Mediterranean Sea",International journal of food science & technology,44,8,1590-1594,2009,Wiley Online Library,
NA,NA,,,,,,,,,
