sciname,StockDefs,TempMin,TempMax,SpecCode
Protopterus aethiopicus,"Africa:  Nile; Lakes Albert, Edward, Victoria, Nabugabo, Tanganyika, Kyoga and No. Three subspecies exist:  <i>Protopterus aethiopicus aethiopicus</i>:  Nile River, Lake Victoria, Lake Tanganyika; <i>Protopterus aethiopicus congicus</i>:  middle and upper Congo River; and <i>Protopterus aethiopicus mesmaekersi</i>:  lower Congo River.",25,30,8734
Protopterus aethiopicus,"<i>Protopterus aethiopicus congicus</i>:  Africa:  Congo basin, from Upper Lualaba to Kinshasa (Ref. 3498).",NA,NA,8734
Protopterus aethiopicus,<i>Protopterus aethiopicus mesmaekersi</i>	:  Africa: Lower Congo River basin (Ref. 3498).,NA,NA,8734
Protopterus annectens,"Africa: The subspecies <i>Protopterus annectens annectens</i> is known from the large Sahelian basins, Comoé River, Bandama River and some basins of Sierra Leone and Guinea (Ref. 2834, 81261); this includes Senegal, Niger, Gambia, Volta and Chad basins, with also the temporary tributaries of Chari River in western Sudan (Ref. 3498). The subspecies <i>Protopterus annectens brieni</i> is known from the upper Congo River basin (Ref. 40587), Lake Rukwa drainage (Ref. 40587), coastal plain of Mozambique from the lower Zambezi to the Incomati, extending up to middle Zambezi Valley (Ref. 52193), and Okavango basin (Ref. 3498).",25,30,2384
Protopterus annectens," <i>Protopterus annectens brieni</i>:  Africa:  Upper Congo River (Luapula River and Upper Lualaba River), Middle and Lower Zambezi basin and all east coast rivers south to the Limpopo River (Ref. 3498, Ref. 13337). Also in Lake Rukwa (Ref. 13337). Has been translocated to additional sites in the Kruger National Park in South Africa (Ref. 52193). Reports from Upper Cubango and Okavango system (Ref. 11970) need confirmation; not present in this region according to Ref. 52193.",NA,NA,2384
Scophthalmus maximus,Northeast Atlantic:  throughout the Mediterranean and along the European coasts to Arctic Circle; also found in most of the Baltic Sea.  Subspecies <i>Psetta maxima maeotica</i> in the Black Sea.,NA,NA,1348
Scophthalmus maximus,Northeast Atlantic:  Baltic Sea (ICES subdivisions 22-32),NA,NA,1348
Scophthalmus maximus,North Sea,NA,NA,1348
Pseudoplatystoma corruscans,South America:  São Francisco and Paraná River basins.,NA,NA,8674
Pseudoplatystoma fasciatum,"South America:  Amazon, Corantijn, Essequibo, Orinoco and Paraná River basins.",24,28,6410
Puntioplites proctozystron,"Asia:  Maeklong, Chao Phraya and Mekong basins and Malay Peninsula.",NA,NA,16203
Puntius sophore,"Asia:  Pakistan, India, Nepal, Bangladesh, Myanmar and Yunnan, China (Ref. 4832), Bhutan (Ref. 40882) and Afghanistan (Ref. 41034)",22,NA,10137
Puntius semifasciolatus,"Asia:  Red River basin, southwestern China, including Hainan (Ref. 43281).  Widely transported around the world (Ref. 1739).",18,24,4677
Pethia ticto,"Asia:  Pakistan, India, Nepal, Sri Lanka, Bangladesh, Myanmar and Thailand (Ref. 4832).  Occurs in the upper Mekong, Salween, Irrawaddy, Meklong and upper Chao Phraya basins (Ref. 43281).",14,22,4815
Rasbora tornieri,"Asia:  Indochina (Ref. 12693, 30857), Malaysia and Indonesia.",NA,NA,22832
Rastrelliger brachysoma,"Pacific Ocean:  Andaman Sea to Thailand, Indonesia, Papua New Guinea, Philippines, Solomon Islands and Fiji.",20,30,109
Rastrelliger kanagurta,"Indo-West Pacific:  Red Sea and East Africa to Indonesia, north to the Ryukyu Islands and China, south to Australia, Melanesia and Samoa.  Entered the eastern Mediterranean Sea through the Suez Canal.",17,NA,111
Rastrineobola argentea,"Africa:  Lakes Victoria and Kyoga, the Victoria Nile.",22,26,281
Reinhardtius hippoglossoides,"Circumglobal: In arctic and temperate waters; northern hemisphere.  Sea of Japan off Honshu north to Shishmaref, Alaska in the Chukchi Sea, throughout the Aleutian Islands, and southeast to northern Baja California, Mexico.  North Atlantic:  New Jersey, USA to Spitsbergen (Svalbard Islands) and the Barents Sea south to Ireland.  Northwest Atlantic:  Canada (Ref. 5951).",-1,4,516
Reinhardtius hippoglossoides,"Greenland, Iceland, West of Scotland (ICES Subareas V, VI, XII, and XIV)",NA,NA,516
Reinhardtius hippoglossoides,North East Arctic - Barents Sea and Norwegian Sea (ICES subareas I and II),NA,NA,516
Rhizoprionodon terraenovae,"Western Atlantic:  New Brunswick, Canada to the Gulf of Mexico.  Southwest Atlantic:  coasts of Brazil.",NA,NA,905
Rutilus frisii,"Eurasia:  Black and Azov Sea basins, absent from Danube and Kuban drainages; landloacked populations in Don, resulting from dam construction; Caspian basin from Terek to Atrek drainages, very rarely in northern Caspian basin (Volga [earlier up to Perm], Ural); Lake Iznik in Sea of Marmara basin in Anatolia.",NA,NA,8416
Rutilus rutilus,"Europe:  north to Pyrenees and Alps, eastward to Ural and Eya drainages (Caspian basin); Aegean basin in Pinios, Vardar, Vegoritis, Kastoria, Struma and Maritza drainages.  Asia: Marmara basin and lower Sakarya in Anatolia, Aral basin, and Siberia from Ob eastward to Lena drainages.  Naturally absent from Iberian Peninsula, Adriatic basin, Italy, Great Britain north of 56 N, Scandinavia north of 69° N.  Locally introduced in Spain; introduced and invasive in northeastern Italy.  At least one country reports adverse ecological impact after introduction.",10,20,272
Salmo salar,"North Atlantic Ocean:  temperate and arctic zones in northern hemisphere (Ref. 51442).
In the western Atlantic, it ranges from western Greenland and the coastal drainages of Quebec, Canada, to Connecticut, USA  (Ref. 5723). Landlocked stocks are present in North America (Ref. 1998). In the eastern Atlantic, it ranges from the White and Barents Sea basins through northeastern Europe to the Baltic and North Sea basins, including Iceland (Ref. 59043). Introduced to New Zealand, Chile, southern Argentina (Ref. 59043) and Australia (Ref. 6390).
Listed in Appendix III of the Bern Convention (2002) (freshwater only).
Listed in Annex II (freshwater only; excluding Finnish population) and V (freshwater only) of the EC Habitats Directive (2007).",2,9,236
Salmo salar,Northeast Atlantic:  Baltic Sea Main Basin and Gulf of Bothnia (ICES subdivisions 22-31).,NA,NA,236
Salmo salar,Northeast Atlantic:  Gulf of Finland (ICES subdivion 32).,NA,NA,236
Salvelinus fontinalis,"North America:  most of eastern Canada from Newfoundland to western side of Hudson Bay; south in Atlantic, Great Lakes, and Mississippi River basins to Minnesota and northern Georgia in USA.  South America:  Argentina (Ref. 9086).  Widely introduced in temperate regions of other continents.  Several countries report adverse ecological impact after introduction.",0,25.2999992370605,246
Salvelinus namaycush,"North America:  Widely distributed from northern Canada and Alaska south to New England in USA and Great Lakes basin in Canada-USA.  Introduced widely to many areas outside its native range.  Splakes (hybrid between <i>Salvelinus namaycush</i> and <i>Salvelinus fontinalis</i>) have also been successfully introduced to many areas of North America.  The three observed phenotypes existing in Lake Superior (lean, siscowet and humper or paperbelly) are under some genetic control and not merely expressions of environmental adaptation (Ref. 40529).",NA,NA,248
Sander lucioperca,"Europe and Asia:  Caspian, Baltic, Black and Aral Sea basins; Elbe (North Sea basin) and Maritza (Aegean basin) drainages.  North to about 65° N in Finland. Introduced widely (Ref. 59043).  Several countries report adverse ecological impact after introduction (Ref. 1739).",6,22,360
Sander vitreus,"North America:  St. Lawrence-Great Lakes, Arctic, and Mississippi River basins from Quebec to Northwest Territories in Canada, south to Alabama and Arkansas in the USA.  Widely introduced elsewhere in the USA, including Atlantic, Gulf, and Pacific drainages.  Rarely found in brackish waters of North America (Ref. 1998).",NA,29,3516
Sarda orientalis,"Indo-Pacific:  widespread but with many gaps in its known distribution.  Eastern Pacific:  Hawaiian Islands and Pacific coast of USA to southern tip of Baja California and Tres Marias Islands extending to Cabo Blanco, Peru (especially during El Niño events), the Galapagos Islands and Gulf of Guayaquil.",13.5,23,114
Sarda sarda,"Eastern Atlantic:  Oslo, Norway to Port Elizabeth, South Africa.  Also known from the Mediterranean and Black Sea.  Western Atlantic:  Nova Scotia, Canada to Florida, USA and northern Gulf of Mexico; then from Colombia, Venezuela, and south of the Amazon River to northern Argentina; apparently absent from most of the Caribbean Sea.",12,27,115
Sardina pilchardus,"Northeast Atlantic:  Iceland (rare) and North Sea, southward to Bay de Gorée, Senegal.  Mediterranean (common in the western part and in Adriatic Sea, rare in the eastern part), Sea of Marmara and Black Sea.",NA,NA,1350
Sardina pilchardus,Northeast Atlantic:  Southern Bay of Biscay and Western Iberian Seas (ICES divisions VIIIc and Ixa).,NA,NA,1350
Sardinella aurita,"Eastern Atlantic:  Gibraltar to Saldanha Bay, South Africa.  Also known from the Mediterranean and Black Sea.  Western Atlantic:  Cape Cod, USA to Argentina.  Bahamas, Antilles, Gulf of Mexico and Caribbean coast (Ref. 26938).",24,NA,1043
Sardinella brasiliensis,"Western Atlantic:  Gulf of Mexico, Caribbean, West Indies southward to Brazil and northern Uruguay (identifications are not always reliable).",NA,NA,1505
Sardinella fimbriata,"Indo-West Pacific:  southern India and Bay of Bengal to the Philippines, also eastern tip of Papua New Guinea.  Often confused with <i>Sardinella gibbosa</i> in Indian waters.",NA,NA,1507
Sardinella maderensis,"Eastern Atlantic:  Gibraltar to Angola; single specimen recorded from Walvis Bay, Namibia.  Also known from the Mediterranean (southern and eastern parts, also penetrating Suez Canal).",24,NA,1047
Sardinella gibbosa,"Indo-West Pacific:  Persian Gulf, East Africa and Madagascar to Indonesia, north to Taiwan and Korea south to the Arafura Sea (Ref. 9819) and northern Australia.  Often confused with <i>Sardinella fimbriata</i> in Indian waters.",NA,NA,1508
Sardinops sagax,"Indo-Pacific:  southern Africa to the eastern Pacific (Ref. 27267).  Three lineages were confirmed through cluster and parsimony analyses of haplotypic divergences:  southern Africa (<i>ocellatus</i>) and Australia (<i>neopilchardus</i>); Chile (<i>sagax</i>) and California (<i>caeruleus</i>); and, Japan (<i>melanostictus</i>) (Ref. 36641).",9,21,1477
Sarpa salpa,"Eastern Atlantic:  Bay of Biscay and Strait of Gibraltar to Sierra Leone, including Madeira, the Canary Islands, and Cape Verde; Congo to South Africa.  Also present in the Mediterranean.",NA,NA,204
Saurida undosquamis,"Eastern Indian Ocean, Malay Peninsula, southern Philippines, northern Java, Arafura Sea, Louisiade Archipelago, and northern half and southwestern Australia.  Reports of Introduction in the Mediterranean are questionable.  Confirmed and questionable reports of its occurrence (and references) are discussed in Inoue & Nakabo 2006 (Ref. 57869:385-6).",NA,NA,1055
Scardinius erythrophthalmus,"Eurasia:  Most European rivers north of Pyrenees and Alps, eastward to Ural and Eya drainages, Aral and White Sea basins; Black Sea basin in Europe and northern Asia Minor.  Naturally absent from Iberian Peninsula, Adriatic basin, Italy, Greece south of Pinios drainage, Great Britain north of 54 N, Ireland and Scandinavia north of 62° N (Ref. 59043).  Definitely absent in Siberia.  Reports from this area arose from the confusion between the rudd and the roach (Ref. 1441).   Introduced to several countries.  Several countries report adverse ecological impact after introduction (Ref. 1739).",2,22,2951
Sciaena umbra,"Eastern Atlantic:  English Channel to Mauritania, occasionally southwards to Senegal.  Also throughout the Mediterranean and Black seas.  Records from Ghana (Ref. 6810) and Gabon (Ref. 5516) are questionable.",NA,NA,1707
Scomber japonicus,"Indo-Pacific:  anti-tropical, absent from the Indian Ocean except for South Africa, KZN to Western Cape (58304).  Replaced by <i>Scomber colias</i> Gmelin 1789 in the Atlantic.  <i>Scomber australasicus</i> is found in the Red Sea and the northern Indian Ocean (Ref. 27328).",10,27,117
Scomber scombrus,North Atlantic: inlcuding the Mediterranean.,NA,NA,118
Scomber scombrus,"Northeast Atlantic:  combined Southern, Western, and North Sea spawning components.",NA,NA,118
Scomberomorus commerson,"Indo-West Pacific:  Red Sea and South Africa to Southeast Asia, north to China and Japan and south to southeast Australia, and to Fiji (Ref. 6390).  Immigrant to the eastern Mediterranean Sea by way of the Suez Canal.  Southeast Atlantic:  St. Helena.",NA,NA,121
Scomberomorus guttatus,"Indo-West Pacific:  Persian Gulf, India and Sri Lanka (Ref. 9684) to southeast Asia, north to Hong Kong and Wakasa Bay, Sea of Japan.",NA,NA,123
Scophthalmus rhombus,Eastern Atlantic:  68°N to Morocco.  Reported from Iceland (Ref. 12462). Also known throughout the Mediterranean and Black Sea.,NA,NA,529
Scophthalmus rhombus,Northeast Atlantic:  Baltic Sea (ICES subdivisions 22-32),NA,NA,529
Scorpaena porcus,"Eastern Atlantic:  British Isles to the Azores, and the Canary Islands, including Morocco, the Mediterranean Sea and the Black Sea.",NA,NA,1758
Scorpaena scrofa,"Eastern Atlantic:  British Isles (rare) to Senegal including Madeira, the Canary Islands, and Cape Verde.  Also throughout the Mediterranean except Black Sea.  South African species thought to be the same as population in the northeast Atlantic (Ref. 4313).",NA,NA,1759
Sebastes flavidus,"Northeast Pacific:  Unalaska Island, Alaska to San Diego, California, USA.",NA,NA,503
Sebastes norvegicus,"Eastern Atlantic:  Kattegat and North Sea, northward to Spitsbergen, southern part of Barents Sea eastward to Kanin Banks and Novaya Zemlya, rare in White Sea, Iceland and eastern Greenland.  Western Atlantic:  Greenland and southeastern Labrador in Canada to New Jersey in USA (Ref. 7251).",3,7,501
Sebastes norvegicus,Northeast Atlantic:  Barents Sea and Norwegian Sea (ICES subareas I and II),NA,NA,501
Sebastes norvegicus,"Greenland, Iceland, West of Scotland (ICES Subareas V, VI, XII, and XIV)",NA,NA,501
Sebastes melanops,"Eastern Pacific:  Amchitka Island, Aleutian Islands, Alaska to Paradise Cove, Baja California, Mexico.",NA,NA,3979
Sebastes mentella,"Eastern Atlantic:  Norwegian Sea from Lofoten Island northward to the western and northern coasts of Spitsbergen; southern part of the Barents Sea rarely to 35°E , on the Iceland-Faroes Ridge, Iceland and Greenland.  Western Atlantic:  Baffin Bay to Nova Scotia in Canada (Ref. 7251).",NA,NA,505
Sebastes mentella,"Atlantic around Iceland, West of Ireland and Celtic Sea and of Iberian Peninsula (ICES Subareas V, XII, XIV and NAFO
Subareas 1+2 (Deep Pelagic stock > 500 m))",NA,NA,505
Sebastes mentella,"Atlantic around Iceland, West of Ireland and Celtic Sea and of Iberian Peninsula (ICES Subareas V, XII, XIV and NAFO
Subareas 1+2 (Shallow Pelagic stock < 500 m))",NA,NA,505
Sebastes mentella,Iceland and icelandic slope (ICES Division Va and Subarea XIV),NA,NA,505
Sebastes mentella,North East Arctic - Barents Sea and Norwegian Sea (ICES subareas I and II),NA,NA,505
Sebastes mentella,southeast Greenland (ICES Subarea XIVb),NA,NA,505
Sebastes pinniger,"Eastern Pacific:  south of the Shelikof Strait in the Gulf of Alaska to Cape Colnett,  Baja California, Mexico.",NA,NA,3989
Sebastes ruberrimus,"Eastern Pacific:  Gulf of Alaska to northern Baja California, Mexico.",NA,NA,3996
Sebastes viviparus,"Northeast Atlantic:  Norwegian coast from Kattegat to Tanafjord in Finnmark, rare off Bear Island, northern part of North Sea, around Shetland Islands, Scotland, northern England, Wales and Ireland, rare in the English Channel; Rockall Bank, common around Faroes and Iceland; sporadic off East Greenland.",NA,NA,1352
Selaroides leptolepis,"Indo-West Pacific:  Persian Gulf to the Philippines, north to Japan, south to the Arafura Sea (Ref. 9819) and Australia (Ref. 3287).",NA,NA,388
Selene vomer,"Western Atlantic:  Canada (Ref. 5951) to Maine to Florida, USA (possibly from Nova Scotia, Canada), along coasts of central and south America (Ref. 26938) to Uruguay, including Bermuda and Gulf of Mexico (Ref. 9626).  Rare in Greater Antilles (Ref. 26938).",NA,NA,1004
Seriolina nigrofasciata,Indo-West Pacific:  Red Sea and East Africa to Japan and Australia.  Southeast Atlantic:  southeast coast of South Africa (Ref. 3197).,NA,NA,1962
Serranus scriba,"Eastern Atlantic:  Bay of Biscay to Mauritania (Ref. 5377), including the Canary, and Azores.  Also from the Mediterranean and the Black Sea.",NA,NA,1761
Siganus rivulatus,"Western Indian Ocean:  several localities in East Africa, and from the Red Sea to the eastern Mediterranean via the Suez Canal.",NA,NA,4545
Sillago sihama,"Indo-West Pacific:  southern Red Sea (Ref. 94953) and Knysna, South Africa to Japan and south to Australia.  Reported from New Caledonia (Ref. 9070).  In Japan, this name has often been misapplied to <i>Sillago japonica</i>; often misidentified as <i>Sillago lutea</i> or <i>Sillago vincenti</i>.",26,29,4544
Silurus glanis,"Europe and Asia.  North, Baltic, Black, Caspian and Aral Sea basins, as far north as southern Sweden and Finland; Aegean Sea basin in Maritza and from Struma to Sperchios drainages; Turkey.  Absent from the rest of Mediterranean basin.  Now widely introduced and translocated throught Europe and Lake Balkhash basin in Kazakhstan.  Several countries report adverse ecological impact after introduction.  In Appendix III of the Bern Convention (protected fauna).",4,20,289
Pegusa lascaris,Eastern Atlantic:  northeastern to southeastern Atlantic; perhaps Gulf of Guinea; the Mediterranean Sea and Black Sea; reported from Suez Canal (Ref. 32649); and Sea of Azov (Ref. 4710).,NA,NA,1336
Solea solea,"Eastern Atlantic:  southward from Trondheim Fjord (including North Sea and western Baltic) and Mediterranean Sea (including Sea of Marmara, Bosporus and southwestern Black Sea).  Elsewhere, southward to Senegal, including Cape Verde (Ref. 5304).",8,24,525
Solea solea,"Northeast Atlantic:  Eastern Bay of Biscay (ICES division VIIIa, b).",NA,NA,525
Solea solea,"Northeast Atlantic:  Eastern Celtic Sea (ICES divisions VIIf, g).",NA,NA,525
Solea solea,Northeast Atlantic:  Eastern Channel (ICES division VIId).,NA,NA,525
Solea solea,Northeast Atlantic:  Irish Sea (ICES division VIIa).,NA,NA,525
Solea solea,Northeast Atlantic:  North Sea (ICES subarea IV).,NA,NA,525
Solea solea,Northeast Atlantic:  Western Channel (ICES division VIIe).,NA,NA,525
Solea solea,"Northeast Atlantic:  Skagerrak, Kattegat and the Belts (ICES Division IIIa and Subdivision 22-24)",NA,NA,525
Solea solea,"Northeast Atlantic:  West of Ireland (ICES divisions VIIb, c)",NA,NA,525
Solea solea,Northeast Atlantic:  Western Celtic Sea (ICES divisions VIIh-k),NA,NA,525
Sorubim lima,"South America:  Amazon, Orinoco, Paraná and Parnaíba River basins.  Syntopic with <i>S. elongatus</i> in the Orinoco basin and with <i>S. elongatus</i> and <i>S. maniradii</i> in the upper Amazon drainage of Brazil, Ecuador, Peru, and Bolivia (Ref. 57983).",23,30,12144
Sparisoma cretense,"Eastern Atlantic:  Portugal, Azores and Madeira south to the Canary Islands and Senegal.  Mediterranean Sea:  more common in the eastern and southern coasts.",NA,NA,13025
Sparus aurata,"Eastern Atlantic:  British Isles, Strait of Gibraltar to Cape Verde and around the Canary Islands; also in the Mediterranean (Ref. 3688).  Reported from the Black Sea (Ref. 12781).  Reports from New Zealand refer to <i>Pagrus auratus</i> (Foster 1801) (Ref. 5755, 9258).",NA,NA,1164
Sphyraena chrysotaenia,Indo-Pacific. Mediterranean: Lessepsian migrant.,NA,NA,16905
Sphyraena sphyraena,"Eastern Atlantic:  Bay of Biscay to Mossamedes, Angola, including the Mediterranean and Black Sea, Canary Islands, and Azores.  Western Atlantic:  Bermuda and Brazil.",NA,NA,1765
Spicara maena,"Eastern Atlantic:  Portugal, Morocco, and Canary Islands including the Mediterranean and Black Sea.",NA,NA,4887
Spicara smaris,"Eastern Atlantic:  entire Mediterranean, the Black Sea, southern Sea of Azov, and Atlantic coasts from Portugal to Morocco, including the Canary Islands and Madeira (Ref. 7349).",NA,NA,1766
Spondyliosoma cantharus,"Eastern Atlantic:  Scandinavia to northern Namibia (Ref. 11228), including the Strait of Gibraltar, Mediterranean and the Black Sea, Madeira, Canary Islands, and Cape Verde.",NA,NA,1356
Sprattus sprattus,"Northeast Atlantic:  North Sea and adjacent waters as far north as the Lofoten Area and the west of the British Isles, and Baltic Sea south to Morocco; also in northern Mediterranean (Gulf of Lion and the Adriatic Sea) and Black Sea.",NA,NA,1357
Sprattus sprattus,"Channel (ICES divisions VIId, e)",NA,NA,1357
Sprattus sprattus,North Sea (ICES subarea IV),NA,NA,1357
Sprattus sprattus,Northeast Atlantic:  Baltic Sea (ICES subdivisions 22-32). From southern Skagerrak and Mecklenburg and Kiel Bays to Kvarken in the Gulf of Bothnia and to Kornstadt in the Gulf of Finland (Ref. 12801). Some authors consider the eastern Baltic population as valid subspecies <i>Sprattus sprattus balticus</i>.,NA,NA,1357
Sprattus sprattus,Northeast Atlantic:  Skagerrak Kattegat (ICES division IIIa),NA,NA,1357
Squalus acanthias,"Western Atlantic:  Greenland to Argentina; Eastern Atlantic: Iceland and and the Barents Sea to Western Sahara and the Canary Islands; Angola to South Africa. Indo-Pacific; the Mediterranean and Black Seas (Ref. 247)  Reports from off New Guinea are doubtful (Ref. 6871).  All records from North Pacific refer to <i>Squalus suckleyi</i> (Girard, 1855) (Ref. 85328). Appendix II (northern hemisphere populations) of the Bonn Convention (2009).",7,15,139
Squalus acanthias,Australasia subpopulation.,NA,NA,139
Squalus acanthias,Black Sea subpopulation.,NA,NA,139
Squalus acanthias,Mediterranean subpopulation.,NA,NA,139
Squalus acanthias,Northeast Atlantic subpopulation.,NA,NA,139
Squalus acanthias,Northwest Atlantic subpopulation.,NA,NA,139
Squalus acanthias,South American subpopulation.,NA,NA,139
Squalus acanthias,Southern African subpopulation.,NA,NA,139
Stolothrissa tanganicae,Africa:  endemic to Lake Tanganyika (Ref. 28136); in the Lukuga River (connecting the lake with the Lualaba River) known up to Kisimba-Kilia Falls (Ref. 93587).,NA,NA,1549
Syacium gunteri,"Western Atlantic:  northeastern Florida (USA), Gulf of  Mexico, and the Antilles to Guyana.",NA,NA,4231
Synodus synodus,"Eastern Atlantic:  Madeira, Canary Islands, and St. Helena Island (Ref. 4472); range extending to São Tomé Island (Ref. 34088).  Western Atlantic:  Florida, USA and southwestern Gulf of Mexico to Uruguay (Ref. 7251), including the Caribbean (Ref. 4472).  Northwest Atlantic:  Canada (Ref. 5951).",NA,NA,2723
Synodontis multipunctatus,"Africa: Lake Tanganyika (Ref. 59365, 82238).",21,25,9596
Tenualosa ilisha,"Indian Ocean:  Persian Gulf eastward to Myanmar, including western and eastern coasts of India.  Reported from the Gulf of Tonkin, Viet Nam (Ref. 9706).  Reported in Tigris River basin and probably other rivers of southern Iran (Ref. 39702).",NA,NA,1596
Tenualosa macrura,"Western Central Pacific:  Malaysia, Indonesia (Java Sea and Sarawak, also affluent rivers) and Thailand (southern tip).",NA,NA,1597
Thaleichthys pacificus,"North Pacific:  west of Saint Matthew Island and Kuskokwim Bay in the Bering Sea, and Bowers Bank in the Aleutian Islands to Monterey Bay, California, USA.  Populations from northern British Columbia are separate from those in the Fraser River (Ref. 10276).",NA,NA,256
Theragra chalcogramma,"North Pacific: from Kivalina, Alaska, to the southern Sea of Japan and to Carmel, California, USA.  The occurrence off the northern part of Baja California (Mexico), as reported from Quast and Hall, (1972) (Ref. 6876) is apparently erroneous.",NA,NA,318
Thunnus alalunga,"Cosmopolitan in tropical and temperate waters of all oceans including the Mediterranean Sea but not at the surface between 10°N and 10°S.  Western Pacific:  range extend in a broad band between 40°N and 40°S (Ref. 9684).  Often confused with juvenile <i>Thunnus obesus</i> which also have very long pectorals but with rounded tips.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",9.5,25.2000007629395,142
Thunnus alalunga,"North Atlantic stock (northeast, eastern central, northwest and western central).",NA,NA,142
Thunnus alalunga,"South Atlantic stock (Antarctic, southeast and southwest).",NA,NA,142
Thunnus orientalis,"North Pacific:  Gulf of Alaska to southern California and Baja California and from Sakhalin Island in the southern Sea of Okhotsk south to northern Philippines.  There are four substantiated records of this subspecies in the southern hemisphere:  off Western Australia, southeast Pacific (37°11'S, 114°41'W) and Gulf of Papua (Ref. 10997).  The species occurs mainly in the northern Pacific but ventures into New Zealand waters for at least three months during spring and early summer (Ref. 83312).",NA,NA,14290
Thunnus thynnus,"Western Atlantic:  Labrador and Newfoundland to Gulf of Mexico, and Caribbean Sea to Venezuela and Brazil.  Eastern Atlantic:   Lofoten Islands off Norway to Canary Islands, including the Mediterranean and the southern part of the Black Sea (Ref. 6769).  Reported from Mauritania (Ref. 5377).  There is a subpopulation off South Africa.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",3,30,147
Thunnus thynnus,Eastern Atlantic stock (eastern central).,NA,NA,147
Thunnus thynnus,Western Atlantic stock (western central).,NA,NA,147
Thymallus arcticus,"North America:  widespread in Arctic drainages from Hudson Bay, Canada to Alaska and in Arctic and Pacific drainages to central Alberta and British Columbia in Canada; upper Missouri River drainage in Montana, USA.  Formerly in Great Lakes basin in Michigan, USA (Ref. 5723).  Arctic Ocean basin in Siberia from Ob to Yenisei drainages and in Europe in some tributaries of Pechora (Usa, Kosyu, Kozhim), Korotaikha and Kara (Ref. 59043).",NA,NA,2693
Thynnichthys thynnoides,"Asia:  Mekong and Chao Phraya basins, Malay Peninsula, Sumatra, Borneo (Ref. 43281).  Reported from the Maeklong river (Ref. 26336).",NA,NA,16209
Tilapia rendalli,"Africa:  Kasai drainage (middle Congo River basin), throughout upper Congo River drainage, Lake Tanganyika, Lake Malawi, Zambesi, coastal areas from Zambesi Delta to Natal, Okavango and Cunene (Ref. 5163). Also in the Limpopo (Ref. 55074). Introduced elsewhere usually for weed control and aquaculture.  Several countries report adverse ecological impact after introduction.",24,28,1397
Tilapia zillii,Israel.,NA,NA,1390
Tilapia zillii,Japan strain.  Introduced to Japan from Egypt in 1962.  Founding stock consisted of two females and one male.,NA,NA,1390
Tilapia zillii,"Africa and Eurasia:  South Morocco, Sahara, Niger-Benue system, rivers Senegal, Sassandra, Bandama, Boubo, Mé, Comoé, Bia, Ogun and Oshun, Volta system, Chad-Shari system (Ref. 5163), middle Congo River basin in the Ubangi, Uele, Ituri and Itimbiri (Democratic Republic of the Congo), Lakes Albert  (Ref. 55074) and Turkana, Nile system and the Jordan system (Ref. 5163).  Several countries report adverse ecological impact after introduction.",10.5,36,1390
Tilapia zillii,Israel.,NA,NA,1390
Tilapia zillii,Lake Maryut (Mariout).,NA,NA,1390
Tinca tinca,"Eurasia:  hypothesized as native in most Europe, naturally absent only in Ireland, Scandinavia north of 61°30'N, eastern Adriatic basin and western and southern Greece where it is now introduced.  In Asia, native eastward to western Yenisei drainage south of 60° N.  Introduced elsewhere.",4,24,269
Trachinotus blochii,"Indo-Pacific:  Red Sea and East Africa (Ref. 3287) to the Marshall Islands and Samoa, north to southern Japan, south to Australia.",NA,NA,1963
Trachinotus ovatus,"Eastern Atlantic:  Bay of Biscay, British and Scandinavian waters (rare vagrant) to Angola, including the Mediterranean Sea and offshore islands.",NA,NA,1773
Trachinus draco,"Eastern Atlantic:  Norway to Morocco, Madeira and Canary Islands, including the Mediterranean and the Black Sea (Ref. 6790).  Reported from Mauritania (Ref. 55783).",NA,NA,1363
Trachurus lathami,"Western Atlantic:  Canada (Ref. 5951) to Maine, USA and northern Gulf of Mexico to northern Argentina; apparently rare in the West Indies.",NA,NA,369
Trachurus mediterraneus,"Eastern Atlantic:  Bay of Biscay to Mauritania including the Mediterranean Sea.  The subspecies <i>Trachurus mediterraneus ponticus</i> occurs in the Marmara and Black seas, southern and western parts of the Azov Sea.",NA,NA,1278
Trachurus trachurus,"Mediterranean Sea and eastern Atlantic:  Norway to South Africa, round the coast to Maputo.",NA,NA,1365
Trachurus trachurus,"North Sea, Eastern Channel, Skagerrak (ICES divisions IVb,c, VIId, IIIa)",NA,NA,1365
Trachurus trachurus,"Northeast Atlantic:  Southern Norwegian Sea, Northern North Sea, around Faroe Islands, West of Scotland, Irish Sea, West of Ireland, Celtic Sea, Bay of Biscay (ICES Divisions IIa, IIIa (Western part), IVa, Vb, VIa, VIIa-c, VIIe-k, VIIIa-e).",NA,NA,1365
Trachurus trachurus,Northeast Atlantic:  Western Iberian Seas (ICES division IXa).,NA,NA,1365
Triakis scyllium,Northwest Pacific:  southern Siberia to Taiwan (Ref. 244).  Nominal records from the Philippines (Ref. 13563).,NA,NA,5949
